,DATE,ORIGIN_STATE_NM,DEST_STATE_NM,PASSENGERS,FREIGHT,MAIL,DISTANCE,SLIDER_KEYS
403,2019-01,Illinois,Washington,57753,110813.0,196686,11626,0
404,2019-01,Illinois,West Virginia,1802,0.0,0,1349,0
405,2019-01,Illinois,Wisconsin,47530,719.0,0,3333,0
406,2019-01,Illinois,Wyoming,5009,260.0,0,4648,0
407,2019-01,Indiana,Alabama,1,0.0,0,425,0
408,2019-01,Indiana,Arizona,14573,38864.0,20324,7495,0
409,2019-01,Indiana,California,14483,27047.0,69043,20425,0
410,2019-01,Indiana,Colorado,19277,49497.0,0,4885,0
411,2019-01,Indiana,Connecticut,20,174.0,0,729,0
412,2019-01,Indiana,Florida,74042,23357.0,0,21740,0
413,2019-01,Indiana,Georgia,53592,35163.0,246343,3204,0
414,2019-01,Indiana,Idaho,4,0.0,0,1563,0
415,2019-01,Indiana,Illinois,35942,17385.0,28909,2876,0
416,2019-01,Indiana,Louisiana,227,0.0,0,707,0
417,2019-01,Indiana,Maryland,6334,4506.0,0,516,0
418,2019-01,Indiana,Massachusetts,4806,5267.0,0,2454,0
419,2019-01,Indiana,Michigan,17639,5.0,0,1572,0
420,2019-01,Indiana,Minnesota,10398,589.0,10839,2911,0
421,2019-01,Indiana,Missouri,3095,10575.0,0,680,0
422,2019-01,Indiana,Nevada,12375,36788.0,0,6364,0
